Key,Event Type,Timestamp
shift,down,1703596412031
shift,down,1703596412077
shift,down,1703596412109
shift,down,1703596412141
shift,down,1703596412173
shift,down,1703596412204
shift,down,1703596412236
shift,down,1703596412267
shift,down,1703596412299
shift,down,1703596412331
shift,down,1703596412361
shift,down,1703596412393
shift,down,1703596412441
shift,down,1703596412473
shift,down,1703596412505
shift,down,1703596412537
shift,down,1703596412567
shift,down,1703596412599
shift,down,1703596412629
shift,down,1703596412659
shift,down,1703596412691
shift,down,1703596412738
shift,down,1703596412770
shift,down,1703596412802
shift,down,1703596412833
shift,down,1703596412864
shift,down,1703596412896
shift,down,1703596412928
shift,down,1703596412959
shift,down,1703596412991
shift,down,1703596413023
shift,down,1703596413055
shift,down,1703596413087
shift,down,1703596413119
shift,down,1703596413167
shift,down,1703596413198
shift,down,1703596413229
shift,down,1703596413261
shift,down,1703596413293
shift,down,1703596413324
shift,down,1703596413354
shift,down,1703596413385
shift,down,1703596413431
shift,down,1703596413463
shift,down,1703596413494
shift,down,1703596413525
shift,down,1703596413557
shift,down,1703596413588
shift,down,1703596413618
shift,up,1703596413646
shift,down,1703596414060
shift,down,1703596414567
shift,down,1703596414599
shift,down,1703596414631
shift,down,1703596414663
shift,down,1703596414694
shift,down,1703596414739
shift,down,1703596414771
shift,down,1703596414803
shift,down,1703596414835
shift,down,1703596414867
shift,down,1703596414899
shift,down,1703596414929
shift,down,1703596414959
shift,down,1703596414990
shift,down,1703596415037
shift,down,1703596415069
shift,down,1703596415101
shift,down,1703596415131
shift,down,1703596415163
shift,down,1703596415194
shift,down,1703596415225
shift,down,1703596415256
shift,down,1703596415287
shift,down,1703596415333
shift,down,1703596415363
shift,down,1703596415394
shift,down,1703596415424
shift,down,1703596415455
shift,down,1703596415486
shift,down,1703596415517
shift,down,1703596415565
shift,down,1703596415596
shift,down,1703596415627
shift,down,1703596415659
shift,down,1703596415689
shift,down,1703596415721
shift,down,1703596415753
shift,up,1703596415757
space,down,1703596418997
space,up,1703596419132
space,down,1703596419174
space,up,1703596419300
space,down,1703596419350
space,up,1703596419434
q,down,1703596419754
q,up,1703596419855
q,down,1703596419930
q,up,1703596420056
q,down,1703596420082
q,up,1703596420232
space,down,1703596422752
space,up,1703596422854
w,up,1703596425138
w,down,1703596429070
e,down,1703596429322
e,up,1703596429372
e,down,1703596429507
e,up,1703596429559
w,up,1703596429675
space,down,1703596431355
space,up,1703596431481
space,down,1703596434203
space,up,1703596434278
space,down,1703596434530
space,up,1703596434624
space,down,1703596435211
space,up,1703596435303
space,down,1703596435379
space,up,1703596435463
space,down,1703596435858
space,up,1703596435933
space,down,1703596436009
space,up,1703596436101
space,down,1703596436748
space,up,1703596436849
space,down,1703596436899
space,up,1703596437017
space,down,1703596437647
space,up,1703596437748
space,down,1703596437806
space,up,1703596437916
space,down,1703596438974
space,up,1703596439100
space,down,1703596440503
space,up,1703596440605
space,down,1703596440713
space,up,1703596440765
e,down,1703596443292
e,up,1703596443367
space,down,1703596444677
space,up,1703596444761
space,down,1703596446735
space,up,1703596446861
space,down,1703596446936
space,up,1703596447062
space,down,1703596448491
space,up,1703596448550
space,down,1703596448684
space,up,1703596448726
w,down,1703596452515
shift,down,1703596452658
E,down,1703596453019
E,up,1703596453103
E,down,1703596453162
E,up,1703596453263
E,down,1703596453355
E,up,1703596453422
E,down,1703596453473
E,up,1703596453566
E,down,1703596453649
shift,up,1703596453700
e,up,1703596453800
shift,down,1703596453842
E,down,1703596454088
shift,up,1703596454153
e,up,1703596454204
shift,down,1703596454212
E,down,1703596454271
E,up,1703596454364
shift,up,1703596454573
e,down,1703596455405
e,up,1703596455497
shift,down,1703596455547
E,down,1703596455573
shift,up,1703596455631
e,up,1703596455657
shift,down,1703596456085
shift,down,1703596456593
shift,down,1703596456624
shift,down,1703596456656
shift,down,1703596456688
shift,down,1703596456720
shift,down,1703596456751
shift,down,1703596456798
shift,down,1703596456830
shift,down,1703596456862
shift,down,1703596456894
shift,down,1703596456926
shift,down,1703596456958
shift,down,1703596456990
shift,down,1703596457022
shift,down,1703596457053
D,down,1703596457078
D,down,1703596457591
D,down,1703596457623
D,up,1703596457630
shift,up,1703596460058
shift,down,1703596460385
shift,down,1703596460893
shift,down,1703596460923
shift,down,1703596460955
shift,down,1703596460985
shift,down,1703596461032
shift,down,1703596461063
shift,down,1703596461094
shift,down,1703596461125
shift,down,1703596461156
shift,down,1703596461187
shift,down,1703596461219
shift,down,1703596461251
shift,down,1703596461283
shift,down,1703596461315
shift,down,1703596461362
shift,down,1703596461393
shift,down,1703596461425
shift,down,1703596461455
shift,down,1703596461487
shift,down,1703596461518
shift,down,1703596461549
shift,down,1703596461581
shift,down,1703596461613
shift,down,1703596461659
shift,down,1703596461691
shift,down,1703596461723
shift,down,1703596461755
shift,down,1703596461787
shift,down,1703596461818
shift,down,1703596461849
