Time (ms),Device,Action,Details
1713544484023,Mouse,Move,"X: 694, Y: 424"
1713544484123,Mouse,Move,"X: 694, Y: 424"
1713544484224,Mouse,Move,"X: 695, Y: 424"
1713544484325,Mouse,Move,"X: 695, Y: 424"
1713544484426,Mouse,Move,"X: 763, Y: 421"
1713544484526,Mouse,Move,"X: 768, Y: 420"
1713544484626,Mouse,Move,"X: 769, Y: 419"
1713544484726,Mouse,Move,"X: 769, Y: 419"
1713544484826,Mouse,Move,"X: 769, Y: 419"
1713544484927,Mouse,Move,"X: 768, Y: 419"
1713544485027,Mouse,Move,"X: 765, Y: 420"
1713544485127,Mouse,Move,"X: 758, Y: 424"
1713544485228,Mouse,Move,"X: 754, Y: 427"
1713544485328,Mouse,Move,"X: 754, Y: 427"
1713544485429,Mouse,Move,"X: 754, Y: 427"
1713544485530,Mouse,Move,"X: 754, Y: 427"
1713544485631,Mouse,Move,"X: 757, Y: 427"
1713544485731,Mouse,Move,"X: 772, Y: 426"
1713544485832,Mouse,Move,"X: 800, Y: 422"
1713544485933,Mouse,Move,"X: 800, Y: 422"
1713544486033,Mouse,Move,"X: 800, Y: 421"
1713544486134,Mouse,Move,"X: 800, Y: 421"
1713544486234,Mouse,Move,"X: 800, Y: 421"
1713544486335,Mouse,Move,"X: 800, Y: 421"
1713544486436,Mouse,Move,"X: 800, Y: 421"
1713544486536,Mouse,Move,"X: 792, Y: 421"
1713544486637,Mouse,Move,"X: 774, Y: 424"
1713544486737,Mouse,Move,"X: 771, Y: 424"
1713544486838,Mouse,Move,"X: 771, Y: 424"
1713544486938,Mouse,Move,"X: 771, Y: 424"
1713544487039,Mouse,Move,"X: 771, Y: 424"
1713544487140,Mouse,Move,"X: 771, Y: 424"
1713544487241,Mouse,Move,"X: 771, Y: 424"
1713544487342,Mouse,Move,"X: 771, Y: 424"
1713544487442,Mouse,Move,"X: 771, Y: 424"
1713544487542,Mouse,Move,"X: 771, Y: 424"
1713544487643,Mouse,Move,"X: 771, Y: 424"
1713544487743,Mouse,Move,"X: 771, Y: 424"
1713544487844,Mouse,Move,"X: 771, Y: 430"
1713544487945,Mouse,Move,"X: 771, Y: 430"
1713544488046,Mouse,Move,"X: 771, Y: 430"
1713544488146,Mouse,Move,"X: 776, Y: 428"
1713544488247,Mouse,Move,"X: 782, Y: 423"
1713544488348,Mouse,Move,"X: 782, Y: 423"
1713544488448,Mouse,Move,"X: 782, Y: 423"
1713544488548,Mouse,Move,"X: 783, Y: 423"
1713544488649,Mouse,Move,"X: 785, Y: 422"
1713544488750,Mouse,Move,"X: 792, Y: 420"
1713544488850,Mouse,Move,"X: 810, Y: 419"
1713544488951,Mouse,Move,"X: 826, Y: 418"
1713544489052,Mouse,Move,"X: 833, Y: 416"
1713544489153,Mouse,Move,"X: 833, Y: 416"
1713544489253,Mouse,Move,"X: 833, Y: 416"
1713544489354,Mouse,Move,"X: 833, Y: 416"
1713544489455,Mouse,Move,"X: 833, Y: 416"
1713544489555,Mouse,Move,"X: 833, Y: 416"
1713544489655,Mouse,Move,"X: 834, Y: 416"
1713544489756,Mouse,Move,"X: 860, Y: 415"
1713544489857,Mouse,Move,"X: 866, Y: 415"
1713544489957,Mouse,Move,"X: 898, Y: 414"
1713544490058,Mouse,Move,"X: 916, Y: 414"
1713544490158,Mouse,Move,"X: 919, Y: 414"
1713544490259,Mouse,Move,"X: 919, Y: 414"
1713544490359,Mouse,Move,"X: 919, Y: 413"
1713544490459,Mouse,Move,"X: 919, Y: 413"
1713544490560,Mouse,Move,"X: 919, Y: 413"
1713544490660,Mouse,Move,"X: 919, Y: 413"
1713544490761,Mouse,Move,"X: 919, Y: 413"
1713544490861,Mouse,Move,"X: 923, Y: 412"
1713544490962,Mouse,Move,"X: 985, Y: 402"
1713544491063,Mouse,Move,"X: 1003, Y: 398"
1713544491164,Mouse,Move,"X: 1003, Y: 398"
1713544491265,Mouse,Move,"X: 1006, Y: 398"
1713544491366,Mouse,Move,"X: 1016, Y: 398"
1713544491466,Mouse,Move,"X: 1019, Y: 398"
1713544491566,Mouse,Move,"X: 1019, Y: 398"
1713544491666,Mouse,Move,"X: 1019, Y: 398"
1713544491767,Mouse,Move,"X: 1019, Y: 398"
1713544491868,Mouse,Move,"X: 1015, Y: 400"
1713544491968,Mouse,Move,"X: 978, Y: 410"
1713544492069,Mouse,Move,"X: 978, Y: 410"
1713544492170,Mouse,Move,"X: 978, Y: 410"
1713544492271,Mouse,Move,"X: 978, Y: 410"
1713544492372,Mouse,Move,"X: 978, Y: 410"
1713544492472,Mouse,Move,"X: 979, Y: 410"
1713544492573,Mouse,Move,"X: 979, Y: 410"
1713544492674,Mouse,Move,"X: 979, Y: 410"
1713544492775,Mouse,Move,"X: 979, Y: 410"
1713544492876,Mouse,Move,"X: 979, Y: 410"
1713544492976,Mouse,Move,"X: 979, Y: 410"
1713544493077,Mouse,Move,"X: 979, Y: 410"
1713544493178,Mouse,Move,"X: 980, Y: 410"
1713544493279,Mouse,Move,"X: 1000, Y: 405"
1713544493379,Mouse,Move,"X: 1028, Y: 405"
1713544493480,Mouse,Move,"X: 1043, Y: 404"
1713544493580,Mouse,Move,"X: 1043, Y: 404"
1713544493681,Mouse,Move,"X: 1043, Y: 404"
1713544493781,Mouse,Move,"X: 1043, Y: 404"
1713544493882,Mouse,Move,"X: 1044, Y: 404"
1713544493983,Mouse,Move,"X: 1078, Y: 408"
1713544494084,Mouse,Move,"X: 1094, Y: 410"
1713544494185,Mouse,Move,"X: 1094, Y: 410"
1713544494286,Mouse,Move,"X: 1094, Y: 410"
1713544494386,Mouse,Move,"X: 1094, Y: 410"
1713544494486,Mouse,Move,"X: 1094, Y: 410"
1713544494587,Mouse,Move,"X: 1094, Y: 410"
1713544494688,Mouse,Move,"X: 1094, Y: 410"
1713544494789,Mouse,Move,"X: 1094, Y: 410"
1713544494890,Mouse,Move,"X: 1094, Y: 410"
1713544494990,Mouse,Move,"X: 1094, Y: 410"
1713544495090,Mouse,Move,"X: 1094, Y: 410"
1713544495191,Mouse,Move,"X: 1094, Y: 410"
1713544495291,Mouse,Move,"X: 1094, Y: 410"
1713544495391,Mouse,Move,"X: 1094, Y: 410"
1713544495492,Mouse,Move,"X: 1094, Y: 410"
1713544495593,Mouse,Move,"X: 1094, Y: 410"
1713544495694,Mouse,Move,"X: 1094, Y: 410"
1713544495794,Mouse,Move,"X: 1094, Y: 410"
1713544495895,Mouse,Move,"X: 1094, Y: 410"
1713544495995,Mouse,Move,"X: 1094, Y: 410"
1713544496096,Mouse,Move,"X: 1087, Y: 414"
1713544496196,Mouse,Move,"X: 1071, Y: 420"
1713544496297,Mouse,Move,"X: 1071, Y: 420"
1713544496398,Mouse,Move,"X: 1071, Y: 420"
1713544496499,Mouse,Move,"X: 1071, Y: 420"
1713544496599,Mouse,Move,"X: 1070, Y: 420"
1713544496700,Mouse,Move,"X: 1031, Y: 417"
1713544496800,Mouse,Move,"X: 1002, Y: 416"
1713544496901,Mouse,Move,"X: 1002, Y: 416"
1713544497002,Mouse,Move,"X: 1002, Y: 416"
1713544497103,Mouse,Move,"X: 1018, Y: 414"
1713544497203,Mouse,Move,"X: 1021, Y: 414"
1713544497304,Mouse,Move,"X: 1021, Y: 414"
1713544497405,Mouse,Move,"X: 1021, Y: 414"
1713544497506,Mouse,Move,"X: 1021, Y: 414"
1713544497606,Mouse,Move,"X: 1021, Y: 414"
1713544497707,Mouse,Move,"X: 1021, Y: 414"
1713544497807,Mouse,Move,"X: 1021, Y: 414"
1713544497908,Mouse,Move,"X: 1021, Y: 414"
1713544498009,Mouse,Move,"X: 1021, Y: 414"
1713544498109,Mouse,Move,"X: 1021, Y: 414"
1713544498209,Mouse,Move,"X: 1021, Y: 414"
1713544498310,Mouse,Move,"X: 1021, Y: 414"
1713544498411,Mouse,Move,"X: 1021, Y: 414"
1713544498512,Mouse,Move,"X: 1021, Y: 414"
1713544498613,Mouse,Move,"X: 1021, Y: 414"
1713544498713,Mouse,Move,"X: 1021, Y: 413"
1713544498814,Mouse,Move,"X: 1021, Y: 413"
1713544498914,Mouse,Move,"X: 1020, Y: 413"
1713544499014,Mouse,Move,"X: 1020, Y: 413"
1713544499115,Mouse,Move,"X: 1012, Y: 416"
1713544499215,Mouse,Move,"X: 1002, Y: 418"
1713544499315,Mouse,Move,"X: 1002, Y: 418"
1713544499416,Mouse,Move,"X: 989, Y: 419"
1713544499517,Mouse,Move,"X: 982, Y: 420"
1713544499618,Mouse,Move,"X: 971, Y: 422"
1713544499719,Mouse,Move,"X: 962, Y: 423"
1713544499819,Mouse,Move,"X: 929, Y: 424"
