Time (ms),Device,Action,Details
1713543788285,Keyboard,Release,Key: space
1713543788343,Keyboard,Press,Key: space
1713543788458,Keyboard,Release,Key: space
1713543789096,Keyboard,Press,Key: space
1713543789182,Keyboard,Release,Key: space
1713543790086,Keyboard,Press,Key: space
1713543790153,Keyboard,Release,Key: space
1713543790580,Keyboard,Press,Key: space
1713543790656,Keyboard,Release,Key: space
1713543790908,Keyboard,Press,Key: space
1713543790982,Keyboard,Release,Key: space
1713543791378,Keyboard,Press,Key: space
1713543791470,Keyboard,Release,Key: space
1713543791537,Keyboard,Press,Key: space
1713543791637,Keyboard,Release,Key: space
1713543791908,Keyboard,Press,Key: space
1713543791989,Keyboard,Release,Key: space
1713543792057,Keyboard,Press,Key: space
1713543792166,Keyboard,Release,Key: space
1713543792770,Keyboard,Press,Key: space
1713543792863,Keyboard,Release,Key: space
1713543792996,Keyboard,Press,Key: space
1713543793046,Keyboard,Release,Key: space
1713543795053,Keyboard,Press,Key: w
1713543796010,Keyboard,Press,Key: shift
1713543796865,Keyboard,Press,Key: A
1713543797006,Keyboard,Release,Key: A
1713543797719,Keyboard,Release,Key: shift
1713543797803,Keyboard,Press,Key: shift
1713543797929,Keyboard,Release,Key: shift
1713543798542,Keyboard,Release,Key: w
1713543798768,Keyboard,Press,Key: m
1713543798835,Keyboard,Release,Key: m
1713543802989,Keyboard,Press,Key: esc
1713543803031,Keyboard,Release,Key: esc
1713543803744,Keyboard,Press,Key: esc
1713543803785,Keyboard,Release,Key: esc
1713543804491,Keyboard,Press,Key: x
1713543804558,Keyboard,Release,Key: x
1713543805859,Keyboard,Press,Key: w
1713543806203,Keyboard,Press,Key: d
1713543806547,Keyboard,Release,Key: d
1713543806790,Keyboard,Press,Key: d
1713543807159,Keyboard,Release,Key: w
1713543807201,Keyboard,Release,Key: d
1713543808720,Keyboard,Press,Key: d
1713543808912,Keyboard,Press,Key: w
1713543809215,Keyboard,Release,Key: d
1713543809718,Keyboard,Press,Key: d
1713543810934,Keyboard,Release,Key: d
1713543811496,Keyboard,Press,Key: a
1713543811613,Keyboard,Release,Key: a
1713543811957,Keyboard,Release,Key: w
1713543812033,Keyboard,Press,Key: e
1713543812074,Keyboard,Release,Key: e
1713543813023,Keyboard,Press,Key: w
1713543814230,Keyboard,Press,Key: shift
1713543814322,Keyboard,Release,Key: shift
1713543814440,Keyboard,Press,Key: shift
1713543815119,Keyboard,Press,Key: A
1713543815346,Keyboard,Release,Key: A
1713543815740,Keyboard,Press,Key: A
1713543815916,Keyboard,Release,Key: A
1713543816378,Keyboard,Press,Key: A
1713543816546,Keyboard,Release,Key: shift
1713543816595,Keyboard,Release,Key: w
1713543819036,Keyboard,Press,Key: left windows
1713543819097,Keyboard,Release,Key: left windows
1713543841341,Keyboard,Press,Key: ctrl
1713543842262,Keyboard,Release,Key: ctrl
1713543862859,Keyboard,Press,Key: left windows
1713543862918,Keyboard,Release,Key: left windows
1713543863824,Keyboard,Press,Key: left windows
1713543863899,Keyboard,Release,Key: left windows
1713543865435,Keyboard,Press,Key: alt
1713543865620,Keyboard,Press,Key: z
1713543865754,Keyboard,Release,Key: z
1713543865770,Keyboard,Release,Key: alt
1713543877072,Keyboard,Press,Key: ctrl
1713543877359,Keyboard,Press,Key: c
