Time (ms),Device,Action,Details
1725111245576,Mouse,Move,"X: 817, Y: 681"
1725111245677,Mouse,Move,"X: 912, Y: 674"
1725111245778,Mouse,Move,"X: 912, Y: 674"
1725111245878,Mouse,Move,"X: 912, Y: 674"
1725111245979,Mouse,Move,"X: 912, Y: 674"
1725111246080,Mouse,Move,"X: 867, Y: 656"
1725111246180,Mouse,Move,"X: 758, Y: 621"
1725111246280,Mouse,Move,"X: 695, Y: 618"
1725111246381,Mouse,Move,"X: 692, Y: 619"
1725111246481,Mouse,Move,"X: 678, Y: 630"
1725111246582,Mouse,Move,"X: 640, Y: 642"
1725111246682,Mouse,Move,"X: 640, Y: 643"
1725111246784,Mouse,Move,"X: 640, Y: 643"
1725111246884,Mouse,Move,"X: 640, Y: 643"
1725111246985,Mouse,Move,"X: 640, Y: 643"
1725111247085,Mouse,Move,"X: 640, Y: 643"
1725111247186,Mouse,Move,"X: 640, Y: 643"
1725111247286,Mouse,Move,"X: 640, Y: 643"
1725111247387,Mouse,Move,"X: 640, Y: 643"
1725111247488,Mouse,Move,"X: 640, Y: 643"
1725111247588,Mouse,Move,"X: 640, Y: 643"
1725111247689,Mouse,Move,"X: 640, Y: 643"
1725111247789,Mouse,Move,"X: 629, Y: 651"
1725111247890,Mouse,Move,"X: 621, Y: 656"
1725111247990,Mouse,Move,"X: 621, Y: 656"
1725111248091,Mouse,Move,"X: 621, Y: 656"
1725111248191,Mouse,Move,"X: 621, Y: 656"
1725111248292,Mouse,Move,"X: 621, Y: 656"
1725111248392,Mouse,Move,"X: 621, Y: 656"
1725111248493,Mouse,Move,"X: 621, Y: 656"
1725111248593,Mouse,Move,"X: 621, Y: 656"
1725111248694,Mouse,Move,"X: 621, Y: 656"
1725111248796,Mouse,Move,"X: 686, Y: 634"
1725111248896,Mouse,Move,"X: 736, Y: 609"
1725111248997,Mouse,Move,"X: 756, Y: 622"
1725111249098,Mouse,Move,"X: 756, Y: 622"
1725111249199,Mouse,Move,"X: 756, Y: 622"
1725111249299,Mouse,Move,"X: 739, Y: 607"
1725111249400,Mouse,Move,"X: 739, Y: 607"
1725111249501,Mouse,Move,"X: 761, Y: 614"
1725111249602,Mouse,Move,"X: 849, Y: 631"
1725111249702,Mouse,Move,"X: 956, Y: 643"
1725111249802,Mouse,Move,"X: 958, Y: 643"
1725111249902,Mouse,Move,"X: 958, Y: 643"
1725111250003,Mouse,Move,"X: 958, Y: 643"
1725111250103,Mouse,Move,"X: 958, Y: 643"
1725111250204,Mouse,Move,"X: 954, Y: 643"
1725111250304,Mouse,Move,"X: 954, Y: 643"
1725111250405,Mouse,Move,"X: 954, Y: 643"
1725111250506,Mouse,Move,"X: 954, Y: 643"
1725111250607,Mouse,Move,"X: 988, Y: 656"
1725111250707,Mouse,Move,"X: 1058, Y: 672"
1725111250808,Mouse,Move,"X: 1158, Y: 687"
1725111250909,Mouse,Move,"X: 1205, Y: 692"
1725111251009,Mouse,Move,"X: 1205, Y: 692"
1725111251110,Mouse,Move,"X: 1205, Y: 692"
1725111251211,Mouse,Move,"X: 1205, Y: 692"
1725111251311,Mouse,Move,"X: 1205, Y: 692"
1725111251412,Mouse,Move,"X: 1205, Y: 692"
1725111251513,Mouse,Move,"X: 1205, Y: 692"
1725111251614,Mouse,Move,"X: 1205, Y: 692"
1725111251714,Mouse,Move,"X: 1223, Y: 682"
1725111251814,Mouse,Move,"X: 1223, Y: 682"
1725111251915,Mouse,Move,"X: 1223, Y: 682"
1725111252015,Mouse,Move,"X: 1223, Y: 682"
1725111252116,Mouse,Move,"X: 1200, Y: 675"
